iter	Logloss
0	0.6712811438
1	0.6536876509
2	0.6398607204
3	0.6293593585
4	0.6205620298
5	0.613517111
6	0.6078292084
7	0.6031238178
8	0.5996758013
9	0.5969627114
10	0.5945997199
11	0.5929114959
12	0.5912716486
13	0.5900160785
14	0.5888697935
15	0.58798632
16	0.5872885911
17	0.5867256497
18	0.5861524964
19	0.5857573011
20	0.5853677234
21	0.5850311709
22	0.5847683895
23	0.5845671872
24	0.5843699261
25	0.584219628
26	0.5840721571
27	0.583960898
28	0.5838078478
29	0.5837229621
30	0.5836149137
31	0.583530129
32	0.5834204655
33	0.5833179945
34	0.583247291
35	0.5831455059
36	0.5830980501
37	0.5830290121
38	0.5829691125
39	0.5829062756
40	0.5828616732
41	0.5828073518
42	0.5827598675
43	0.5827149051
44	0.5826889024
45	0.5826620183
46	0.5826279816
47	0.5825998307
48	0.5825652662
49	0.5825250219
50	0.5824921725
51	0.5824663472
52	0.5824414934
53	0.5824169167
54	0.5823843068
55	0.5823542642
56	0.5823306625
57	0.5823106184
58	0.5822846994
59	0.5822669352
60	0.5822428602
61	0.5822259376
62	0.5822076646
63	0.582169162
64	0.5821540676
65	0.5821335979
66	0.582115676
67	0.5821017382
68	0.5820759949
69	0.5820538926
70	0.5820372594
71	0.5820199485
72	0.5820085046
73	0.581993333
74	0.5819735302
75	0.5819614742
76	0.581946025
77	0.5819224327
78	0.5819090887
79	0.5819003414
80	0.5818851428
81	0.5818702616
82	0.5818599292
83	0.5818447951
84	0.5818288479
85	0.5818133544
86	0.5817940524
87	0.5817813196
88	0.5817689483
89	0.5817591624
90	0.581748478
91	0.581731419
92	0.5817219935
93	0.5817102994
94	0.5816969374
95	0.5816820367
96	0.5816715466
97	0.5816631988
98	0.5816550068
99	0.5816433963
100	0.5816343053
101	0.581623168
102	0.5816131252
103	0.5816046
104	0.5815957137
105	0.5815834531
106	0.5815714344
107	0.5815600553
108	0.5815461943
109	0.5815347125
110	0.5815243055
111	0.5815124072
112	0.5814957182
113	0.5814876661
114	0.5814780465
115	0.58146663
116	0.5814580591
117	0.5814508669
118	0.5814377083
119	0.5814304238
120	0.5814219996
121	0.5814128437
122	0.5814036428
123	0.5813879914
124	0.5813770847
125	0.581369347
126	0.5813609244
127	0.5813520283
128	0.5813436608
129	0.5813329583
130	0.581323766
131	0.5813173634
132	0.5813088564
133	0.5813031946
134	0.5812934732
135	0.5812836597
136	0.5812792669
137	0.5812705195
138	0.5812645608
139	0.5812560362
140	0.581250004
141	0.5812414972
142	0.5812334908
143	0.5812274306
144	0.5812155602
145	0.5812085828
146	0.5811969808
147	0.5811893455
148	0.5811813756
149	0.5811750003
150	0.5811634737
151	0.5811513072
152	0.5811437632
153	0.5811361451
154	0.5811289539
155	0.581121283
156	0.581112906
157	0.581102592
158	0.5810984586
159	0.5810918978
160	0.5810840397
161	0.5810751343
162	0.5810651537
163	0.5810554797
164	0.5810467492
165	0.5810384094
166	0.5810330162
167	0.5810267984
168	0.5810182921
169	0.5810114903
170	0.5810033726
171	0.5809933926
172	0.5809848392
173	0.5809762305
174	0.5809680488
175	0.5809604502
176	0.5809538335
177	0.5809450768
178	0.5809385446
179	0.580929612
180	0.5809206045
181	0.5809138399
182	0.5809061857
183	0.580898198
184	0.5808889784
185	0.5808830571
186	0.5808730399
187	0.5808654043
188	0.5808547385
189	0.5808478168
190	0.5808406257
191	0.5808327212
192	0.5808230653
193	0.580818302
194	0.5808103792
195	0.5808031792
196	0.5807989164
197	0.5807903449
198	0.580782886
199	0.5807753708
200	0.5807677262
201	0.5807606373
202	0.5807540222
203	0.5807477671
204	0.5807400204
205	0.5807338307
206	0.5807270258
207	0.5807210486
208	0.5807146372
209	0.5807096518
210	0.5807013862
211	0.5806941827
212	0.5806846752
213	0.580676808
214	0.5806673745
215	0.5806623154
216	0.5806556064
217	0.5806479057
218	0.5806416971
219	0.5806343857
220	0.5806259348
221	0.5806206711
222	0.5806143604
223	0.5806075124
224	0.5806021933
225	0.580593844
226	0.580584179
227	0.5805788041
228	0.5805703725
229	0.5805643768
230	0.580558836
231	0.580552062
232	0.5805473544
233	0.5805408119
234	0.5805363455
235	0.5805304427
236	0.5805255964
237	0.5805196708
238	0.5805134529
239	0.5805087921
240	0.5805011395
241	0.580492503
242	0.5804836347
243	0.5804782876
244	0.5804699017
245	0.5804645085
246	0.5804567058
247	0.580452434
248	0.5804429646
249	0.5804398787
250	0.5804353103
251	0.5804278138
252	0.5804226802
253	0.580416972
254	0.5804122274
255	0.580407029
256	0.5804004775
257	0.5803954738
258	0.5803871619
259	0.5803817422
260	0.5803752369
261	0.5803706591
262	0.5803682504
263	0.5803632186
264	0.5803585206
265	0.58035221
266	0.5803475585
267	0.5803409243
268	0.5803330577
269	0.5803277954
270	0.5803230142
271	0.5803149896
272	0.5803081508
273	0.5803036652
274	0.5802998851
275	0.5802929076
276	0.5802880241
277	0.5802809539
278	0.5802763114
279	0.5802708069
280	0.5802663127
281	0.5802612438
282	0.5802526173
283	0.5802466769
284	0.5802419971
285	0.5802368075
286	0.5802333141
287	0.5802252892
288	0.5802201281
289	0.5802147723
290	0.5802102501
291	0.5802034677
292	0.5801994637
293	0.5801968783
294	0.5801893623
295	0.580187509
296	0.5801809389
297	0.5801754355
298	0.5801709768
299	0.5801664731
300	0.5801607011
301	0.5801570129
302	0.5801523153
303	0.5801458746
304	0.5801397493
305	0.5801334758
306	0.5801274895
307	0.5801248954
308	0.5801199563
309	0.5801160828
310	0.580111116
311	0.5801060194
312	0.5801041011
313	0.5800994398
314	0.5800970127
315	0.5800908129
316	0.5800875793
317	0.5800817978
318	0.5800761915
319	0.5800730796
320	0.5800655181
321	0.5800615241
322	0.5800534442
323	0.5800501824
324	0.5800442979
325	0.5800383859
326	0.5800351424
327	0.5800315662
328	0.5800265346
329	0.580021095
330	0.5800162561
331	0.5800126422
332	0.5800077309
333	0.5800023471
334	0.5799973136
335	0.5799928655
336	0.5799907991
337	0.5799853501
338	0.5799800401
339	0.5799707543
340	0.5799662783
341	0.5799637668
342	0.5799609312
343	0.5799560472
344	0.5799522019
345	0.5799478096
346	0.5799443997
347	0.5799402204
348	0.5799332438
349	0.5799299818
350	0.5799268312
351	0.5799213547
352	0.579918723
353	0.5799130524
354	0.5799074273
355	0.5799044437
356	0.5799010245
357	0.5798968448
358	0.5798909511
359	0.5798876707
360	0.5798816474
361	0.5798782004
362	0.5798743179
363	0.5798715848
364	0.5798653391
365	0.5798602146
366	0.5798560901
367	0.5798505955
368	0.5798491127
369	0.5798446832
370	0.579841338
371	0.5798367795
372	0.5798311548
373	0.5798289588
374	0.5798229994
375	0.5798160403
376	0.5798120463
377	0.5798065975
378	0.5798031412
379	0.5797996386
380	0.5797967474
381	0.5797939672
382	0.5797895745
383	0.5797870356
384	0.5797826149
385	0.5797767862
386	0.5797718193
387	0.5797673713
388	0.5797641002
389	0.5797604397
390	0.5797556765
391	0.5797490878
392	0.5797464837
393	0.5797437405
394	0.5797400894
395	0.5797356603
396	0.5797328153
397	0.5797283393
398	0.5797238628
399	0.5797211848
400	0.5797168573
401	0.5797131595
402	0.5797076184
403	0.5797011598
404	0.5796961838
405	0.5796911149
406	0.5796884831
407	0.5796847301
408	0.579681311
409	0.579678559
410	0.5796730085
411	0.5796699039
412	0.5796655671
413	0.5796616199
414	0.5796552908
415	0.5796515746
416	0.5796453011
